question,answer
cover your nose and mouth if you have to sneeze or cough.,"redirect your sneezes and coughs into your elbow, which prevents the droplets from flying into the air. wash your hands and arm thoroughly after you sneeze or cough to sanitize yourself after the fact. you can also sneeze or cough into a tissue to prevent the spread of germs."
how should i talk to my students about covid-19?,"as public conversations around covid-19 increase, children may worry about themselves, their family, and friends getting ill with covid-19. teachers can play an important role in helping children make sense of what they hear in a way that is honest, accurate, and minimizes anxiety or fear. cdc has created guidance to help adults have conversations with children about covid-19 and ways they can avoid getting and spreading the disease."
"i was recently around someone who has covid-19, but i feel fine. why should i stay at home?","people with covid-19 can still spread the virus even if they don’t have any symptoms. if you were around someone who had covid-19, it is critical that you stay home and away from others for 14 days from the last day that you were around that person. staying home and away from others at all times helps your health department in the fight against covid-19 and helps protect you, your family, and your community."
do your best to keep a calm attitude while talking about what's going on.,"your loved one will pick up on your emotions, and your feelings will influence how they feel. if you're upset, label your feelings out loud, like saying ""i'm a little worried"" or ""sometimes i feel sad about it."""
how should we manage interest groups or organizations trying to use this disequilibrium to negotiate or exercise influence to get something they want?,"if a group is arguing that it needs a particular change in policy from you to respond to this moment, you can put a sunset clause on the change: agree to a 60-day term, then renegotiate. that way it's on them to prove that the need is still there. (juliette kayyem, 4/6/20)"
make sure your vaccinations are up-to-date.,"while there is not yet a vaccine for the coronavirus, keeping up with your other vaccinations can help prevent diseases that might cause serious health problems. talk to your doctor if you're not sure if your vaccinations are current."
is covid-19 treatable?,"there is no vaccine, and since it is a virus, antibiotics won’t work. without any specific treatment available, health care providers generally treat the symptoms and make the patient more comfortable."
do pregnant women with suspected or confirmed covid-19 need to give birth by caesarean section?,no. who advice is that caesarean sections should only be performed when medically justified. the mode of birth should be individualized and based on a woman’s preferences alongside obstetric indications.
can i change my naics code to a code that is essential?,the naics code that should be used is the naics code that the business had for their most recent unemployment and/or tax filings prior to the issuance of the state of emergency. a business classified as non-essential who changes or adds a naics code in order to fall under the essential category will be subject to the same civil and criminal penalties as a company that knowingly fails to comply with the order.
is it safe to have groceries delivered?,"yes, it is safe to have groceries delivered if the provider follows good personal and food hygiene practices. after accepting food/grocery deliveries, hands should be properly washed."
