question,answer,custom_gpt2_answer,oob_gpt2_answer,cresults,oresults
"i have a few symptoms like the stomachache, congestion, and diarrhea but no fever. is it possible i have the virus?","stomach troubles aren't a common symptom of the coronavirus, but a fever is a key symptom, so it's unlikely that you have it. however, if you have any questions, call ahead to your doctor and make an appointment.","there are many different types of coronavirus that cause mild to moderate illness in children (fever or chills). some people get very sick with covid-19 while others become seriously ill from this infection and develop serious respiratory problems such as pneumonia requiring hospitalization for several days after exposureressing them out can help prevent their spread if they do not show any signs yet! ""if you think your child has been exposed by someone who was recently diagnosedwith sars cov2(the name given on both ends) then contact cdc’s testing site at 1–877‑cdccovidchecker@fda online course page","yes! you may be able to develop covid-19 if your immune system has been weakened by exposure or infection with sars2 coronavirus (sarcoviruses). this can happen when an infected person coughles in their mouth while they are coughing; sneezes into someone else's nose/mouth after touching something that touches them during close contact such as kissing); gets sick from being touched on surfaces other than those around others who were not exposed at all before getting ill so there might also occur some type of viral illness associatedwith these exposures(e., flu)",0.828254222869873,0.8148736357688904
social distancing & business operations during the covid-19 pandemic,"q. do you have best practices to share with retail food stores, restaurants, and food pick-up and delivery services that cover safe food handling, as well as employee health? - added april 16, 2020
fda is sharing information about best practices to operate retail food stores, restaurants, and associated pick-up and delivery services during the covid-19 pandemic to safeguard workers and consumers. the information in two convenient formats addresses key considerations for how foods offered at retail and restaurants can be safely handled and delivered to the public, as well as key best practices for employee health, cleaning and sanitizing, and personal protective equipment (ppe). see best practices for retail food stores, restaurants, and food pick-up/delivery services during the covid-19 pandemic.
q: how do i maintain social distancing in my animal food production/processing facility and food retail establishment where employees typically work within close distances? - updated 4/6/2020
to prevent spread of covid-19, cdc is recommending individuals employ social distancing or maintaining approximately 6 feet from others, when possible. in animal food production/processing facilities and retail food establishments, an evaluation should be made to identify and implement operational changes that increase employee separation. however, social distancing to the full 6 feet will not be possible in some animal food facilities.
the risk of an employee transmitting covid-19 to another is dependent on distance between employees, the duration of the exposure, and the effectiveness of employee hygiene practices and sanitation. when it’s impractical for employees in these settings to maintain social distancing, effective hygiene practices should be maintained to reduce the chance of spreading the virus. also, see should employees in animal food production and retail settings and delivery staff for home-based delivery services wear face coverings to prevent exposure to covid-19?
important: maintaining social distancing in the absence of effective hygiene practices may not prevent the spread of this virus. animal food facilities should be vigilant in their hygiene practices, including frequent and proper hand-washing and routine cleaning of surfaces that workers commonly touch or contact. 
because the intensity of the covid-19 outbreak may differ according to geographic location, coordination with state and local officials is strongly encouraged for all businesses so that timely and accurate information can guide appropriate responses in each location where their operations reside.  
sick employees should follow the cdc’s what to do if you are sick with coronavirus disease 2019 (covid-19).
q: should employees, such as cashiers, baggers, and cleaning personnel in animal food production and retail settings (such as pet stores or farm supply stores) and delivery staff for home-based delivery services, wear face coverings to prevent exposure to covid-19? - updated 4/24/2020
on april 3, the cdc released an updated recommendation regarding the use of cloth face coverings to help slow the spread of covid-19.  cdc recommends the use of simple cloth face coverings as a voluntary public health measure in public settings where other social distancing measures are difficult to maintain (e.g., grocery stores and pharmacies). 
for workers on farms, and in food production, processing, and retail settings who do not typically wear masks as part of their jobs, consider the following if you choose to use a cloth face covering to slow the spread of covid-19:
maintain face coverings in accordance with parameters in fda’s model food code sections 4-801.11 clean linens and 4-802.11 specifications.
launder reusable face coverings before each daily use.
cdc also has additional information on the use of face coverings, including washing instructions and information on how to make homemade face covers.
note:  the cloth face coverings recommended by cdc are not surgical masks or n-95 respirators.  those are critical supplies that must continue to be reserved for healthcare workers and other medical first responders, as recommended by current cdc guidance.
in addition, fda has developed a fact sheet to provide helpful information to the human and animal food industries on the use of respirators, facemasks, and cloth face coverings in the food and agriculture sector during coronavirus disease (covid-19) pandemic (last updated 4/24/20).
q: what steps can i take to clean my animal food facility/equipment to prevent the spread of covid-19?
some steps that can be taken to clean a facility or equipment to prevent the spread of covid-19 include:
following current good manufacturing practice (cgmp) requirements for animal food safety to maintain clean surfaces.
while not universally required under the cgmps in the preventive controls for animal food (pcaf) regulation, consider sanitizing high-contact surfaces and equipment that workers may come into contact with.
see:  fsma final rule for preventive controls for animal food.
human food facilities are required to use epa-registered “sanitizer” products in their cleaning and sanitizing practices. cleaning and sanitizing agents used in animal food production must be safe and adequate under the conditions for use.  using the epa-registered sanitizers may be one means of helping ensure safety and adequacy.
in addition, there is a list of epa-registered “disinfectant” products for covid-19 on the disinfectants for use against sars-cov-2 list that have qualified under epa’s emerging viral pathogen program for use against sars-cov-2, the coronavirus that causes covid-19. 
important: check the product label guidelines for if and where these disinfectant products are safe and recommended for use in food manufacturing areas or food establishments. 
we encourage coordination with localexternal link disclaimer health officials for all businesses so that timely and accurate information can guide appropriate responses in each location where their operations reside.
animal food facilities may want to consider a more frequent cleaning schedule.
q: are workers in the animal food (including for livestock and pet animals) sector considered part of the essential critical infrastructure workforce?
yes, in a guidance last updated by department of homeland security on march 28, guidance on the essential critical infrastructure workforce: ensuring community and national resilience in covid-19 response, workers in the food and agriculture sector – agricultural production, food processing, distribution, retail and food service and allied industries – are named as essential critical infrastructure workers. promoting the ability of american workers within the food and agriculture industry to continue to work during periods of community restrictions, social distances, and closure orders, among others, is crucial to community continuity and community resilience.
q: where should i send questions if we are having problems moving animal food/ingredients or getting animal food/ingredients through areas that have curfews and restrictions because of the coronavirus?
if you are experiencing issues regarding your supply chain, delivery of goods, or business continuity, please contact the fema national business emergency operations center at nbeoc@fema.dhs.gov. this is a 24/7 operation and they can assist in directing your inquiry to the proper contact. 
q: will fda/epa approve off-label use of quaternary ammonium sanitizer at 200 ppm as a hand sanitizer for checkers and customers?  it is currently on the epa approved list for use in retail to sanitize food prep areas, dishes etc., and we would like to use it instead of gel hand sanitizer due to the lack of availability.
we are aware of temporary out-of-stock conditions of alcohol-based hand sanitizers.  several manufacturers of these products have indicated that they are working to replenish supplies.  in addition, the fda has issued guidance for the temporary compounding of certain alcohol-based hand sanitizers by pharmacists in state-licensed pharmacies or federal facilities and registered outsourcing facilities.  see immediately in effect guidance for industry: policy for temporary compounding of certain alcohol-based hand sanitizer products during the public health emergency.  fda has also issued guidance for the temporary preparation of certain alcohol-based hand sanitizer products by firms during the public health emergency (covid-19).  see guidance for industry: temporary policy for preparation of certain alcohol-based hand sanitizer products during the public health emergency (covid-19).
hand sanitizers are not intended to replace handwashing in food production and retail settings.  instead, hand sanitizers may be used in addition to or in combination with proper handwashing.  cdc recommends that everyone wash their hands with plain soap and water. alcohol-based hand sanitizers may be used if plain soap and water are not available.
as an interim measure, we understand some food establishments have set up quaternary ammonium hand-dip stations and sprays at 200 ppm concentration. these products are intended for use on surfaces, and as such, may not be formulated for use on skin. fda is aware of adverse event reports from consumers using such products as a replacement for hand sanitizers and advises against using these products as replacements for hand sanitizers.","businesses and organizations are required to comply with all public health orders, including executive order no. 152(a), which requires individuals 65 years of age or older not present in a congregate setting such as an indoor facility (such venue where there is more than one person per 6 feet) from others for 14 days prior approval by their local county government officials; however it does require that any individual over 60 be admitted into quarantine at home until they meet certain criteria before entering another location on site under this directive if he/she has had direct contact between people who have tested positive but donot live together since march 2020lient isolation facilities must remain open 24 hours apart except when providing care services via telehealth only while performing essential functions related directly through telemedicine technology provided within these entities","businesses and organizations that are experiencing a shortage of workers should consider hiring or reopening. these employees will be able to work remotely, but they may not have access for other reasons such as health care needs (e., eua), financial need related services like unemployment compensation benefits/retirement plans etc.. if you can't find an employer in your area who is willing – please contact them directly by phone at 800–843 6354  or emailing cdc@covidsystemsolutionscorpusternalislandlinelineservicesandservices/.",0.7902040481567383,0.7801167368888855
should i wear a respirator in public?,"most often, spread of respiratory viruses from person-to-person happens among close contacts (within 6 feet). recent studies indicate that people who are infected but do not have symptoms likely also play a role in the spread of covid-19. cdc recommends everyday preventive actions to prevent the spread of respiratory viruses, such as avoiding people who are sick, avoiding touching your eyes or nose, and covering your cough or sneeze with a tissue. people who are sick should stay home and not go into crowded public places or visit people in hospitals. workers who are sick should follow cdc guidelines and stay home when they are sick.","yes. the cdc recommends that people who are sick with covid-19 use respirators when caring for someone infected by sars cov2, or possibly other coronaviruses (including those causing coronavirus disease 2019) and may be able to spread it if they have symptoms such as fever without realizing themself”seventically dispose of their n95 filtering facepiece mask after each shift; however this is not recommended because there isn’t enough supply available at all during these times and some hospitals might run out due capacity issues related specifically [1/3 ]. ""if you need medical care but don't want one right now—or even just an emergency room visit – call your healthcare provider first before going anywhere else so we can get tested more quickly while protecting everyone's health - especially older adults & children under age 60 years old!","yes. the cdc recommends that people wearing masks and face coverings be allowed to use their hands, feet or other surfaces where they are not comfortable for breathing (such as restrooms) without assistance from others if possible during this time of day when there is no risk associated with exposure by someone else who has respiratory illness related symptoms such pneumonia/sars-covid disease; cough infection caused through aerosols produced while coughing into an airtight container containing droplets); sneezing due at least 6 hours after touching any surface contaminated using hand sanitizer products used on food packaging intended solely against coronavirus ssp2 viruses including but excluding those manufactured before april 19th 2020",0.8235730528831482,0.812723696231842
set boundaries so caring for the person doesn’t overwhelm you.,"it’s very important to continue taking care of yourself if you’re helping someone with depression. you can’t be expected to provide round-the-clock care, and you’ll burn yourself out if you try. be honest and tell the person what you’re willing to do for them. on your own time, enjoy hobbies and distractions to support your own mental health. 

as a general rule, caring for the person shouldn’t interfere with your own life. if it is, then you should consider communicating and setting some boundaries.
you might be hesitant to tell a depressed person that they’re crossing a line to avoid upsetting them, but this is counterproductive. you’re not only sacrificing your own mental health, but the person might also notice that you’re silently resenting them and feel worse.","if your loved one is sick, it's important to limit contact with them until they're ready and able get tested or quarantine themselves at home (or else) away from others who are ill in order not spread covid-19 further into their lives! this will help prevent spreading any virus that may be present on a surface like clothing/footage fabrics when people touch surfaces of shared objects such as doorknobs etc., elevator buttonsrails, keyboards & light switches. ""if possible avoid touching items contaminated by germs while shopping online instead; wash hands before handling anything touched directly after each use using these productsseparately and thoroughly afterward—for example disinfecting wipes used frequently throughout checkout counters between transactions through credit card terminals during checkouts). additionally consider limiting how often someone can interact within an area where there isn't widespread transmission because many shoppers might have been exposed but don's still need access only once every 2 weeks due diligence has taken place regarding high traffic areas outside stores including grocery store aisles.​","if your child is sick, they may be able to stay home and play with their friends or family members while at school (or in a nursing facility). this can help them avoid getting infected by other people who might have been around others during that time of illness – especially those close together when it's difficult not get along without someone else nearby!  

if possible use social distancing measures such as wearing face coverings whenever feasible; staying away from children younger than 6 years old unless necessary because there are no symptoms); keeping an eye on everyone outside each room where kids live apart until age 2-3 months after being diagnosed/diagnosed before going out into public places like parks & playgrounds insteadof having anyone go inside every day except yourself)",0.8112542033195496,0.816521167755127
what if my time off is not approved and i don’t come to work? (posted 3/15/20),you will be treated just as you would if you did not show up for work any other time. employees failing to come to work without approved leave time may be subject to discipline per the applicable collective bargaining agreement or compensation plan.,"you may be eligible for unemployment benefits. however, the department of labor has issued guidance that allows employers who are unable or unwillingly offer paid sick leave during this public health emergency can apply with an exception from a rule in which they have been required by law whether it would otherwise disqualify them under state laws against discrimination based on race; the policy does waive certain requirements related specifically covid-19 protections such as those relating directly attributable only toward employees at risk due their immigration statuses because immigrants make up most workers within our community but do so through no fault when applying themselves solely economically - including people without disabilities); ¯if your employer cannot provide reasonable accommodations beyond these provisions provided pursuant federal rules regarding employment insurance eligibility criteria prior approval – then there will need another reason why we must exclude noncitizens whose application was denied before april 1st 2020because he had recently lost income while residing overseas [including among other reasons ]. ""additionally speaking about disability rights broadly refer back all civil liberties protected individuals enjoy over others like family members—not just citizens seeking asylum seekers' protection abroadexternal icon). some states also require claimants","the department of labor has issued guidance for employers that employees who are unable or unwilling, in good faith at their job openings due on march 15th will be required by law. this includes those individuals with disabilities as well – including persons without a disability's ability-based social distancing program suchas children under age 2 years old; people living alone because they cannot afford childcare services but do have access through other means like public transportation); workers whose hours may require them temporarily out from home during an emergency situation where there would otherwise remain no need within 24 hr., regardless whether it was caused solely based upon circumstances beyond control(s). the directive also provides specific instructions regarding when temporary leave should occur so long distance travel can resume after all reasonable efforts were made before returning back into employment following any adverse events related specifically relating directlyto covid19 exposure.(updated 4 april 2020):",0.8055722117424011,0.8086974024772644
where can i find more information about animals and covid-19?,"for more information, check out the following websites:

cdc covid-19: pets and other animals
cdc: frequently asked questions, covid-19 and animals
cdc: interim guidance for public health professionals managing people with covid-19 in home care and isolation who have pets or other animals
cdc: healthy pets, healthy people
cdc: covid-19 daily life and coping, if you have animals
avma: interim recommendations for intake of companion animals from households where humans with covid-19 are present","the centers for disease control (cdc) has created a website that provides resources to help veterinarians, cats & other animal species affected by this outbreak. you may also visit cdc's webpage on how pets are protected from getting sick with coronavirus or tips they should take steps in protecting themselves during these times of uncertainty such as staying home when ill; visiting their local veterinary clinic if possible while out looking after your pet(s); taking care not just at feeding but washing hands often throughout each day – especially before eating food - avoiding contact between people who might be infected so it is easier said than done!""the american red cross offers several ways its members have been helping keep communities safe through disasters like hurricanes maria and elida/nyseddodium outbreaks including providing shelter housing via mobile phone calls insteadof going into shelters because many homes were damaged due either directly relatedto natural disaster events which resulted there being an increase over time associatedwith sheltering displaced persons living overseas ratherallylore severe weather conditions impacting livestock populations across central americaexternal icon","the cdc has published a list of animal health organizations that are working to protect their populations. these include, but aren't limited only; rabies control organization (rca), national wildlife refuge association for wildland conservationists' rights group njwildlifeerservice program at american tiger park in south korea/northwest virginia state parks area north east united states departmental office on endangered species protection programs website wwwwww://njcucsolutionsafetyprogrammedicarenaevelopmentprojectionaryguide/.",0.7992985844612122,0.777497410774231
watch digital commencement speeches to lift your spirits.,"check online for virtual speeches that well-known individuals gave at different schools. take some time to sit and listen to a few of these speeches; given the current state of the world, these speakers will have lots of advice specific to you and your unique circumstances. 

ted talks are a great place to start.
try searching “commencement speeches” on youtube to find celebrity speeches directed at your graduating class.","if you’re a college student, try watching online classes for the first time since march 2020 and getting ready mentally well before school starts again in september or october! this can be tough because of covid-19 restrictions on gatherings (e., social distancing), remote learning arrangements that limit how many students are allowed into campus buildings at one point per week due not only to safety concerns but also lack internet access—and it may take longer than expected after graduation ceremonies will occur). ""if possible get creative with virtual graduations by hosting live streams from their homes so they don't have any distractions while attending class via zoom instead; make sure everyone has an account holder who knows what's going around them as best practice is important when making plans about studying remotely during quarantine times like these?or use video conferencing software such dropbox spaces where each participant participates virtually rather easily throughout all daylong lessons together using google classroom services provided through teams 365 plus/google workspace collaboration tools including microsoft office365 platform which allows participants' personal devicesharing capabilities without having shared equipment)","the internet is a great way for people who are struggling with anxiety or depression, and it's also an opportunity that many of us can use as well! you could say something like “i'm sorry i lost my job because someone told me about covid-19” while watching tv on youtube (or whatever).  you might even be able call yourself ""the person"" in some ways if they're feeling anxious at all times during this time – but don't let them feel alone by saying anything negative when talking online so everyone else will understand what happened before their eyes.""",0.8119094371795654,0.824589729309082
quarantine yourself at home for 10 days.,"try not to leave your home often, even if you’re asymptomatic. create a separate living space for yourself at home, so you aren’t as likely to spread any germs to your roommates or family members. additionally, avoid sharing any cups, utensils, or other items that can possibly spread the virus. you can end your quarantine 10 days after you first received your test results. 

if possible, sign up for curbside delivery services. you can also order take-out or take advantage of food delivery services while you’re at home.
wear a face covering if you’re spending time around other people in your home.","if you have a fever, cough or shortness of breath and are concerned about getting sick with covid-19 (the disease caused by the novel coronavirus), stay away from others until your symptoms resolve completely—and don’t leave them alone in public places like grocery stores to get tested as soon after they start showing up positive! ""if possible it's okay not only because there is no need during this time but also that everyone who has been exposed will be quarantined so long afterwards; however people can still spread infection even when asymptomatic carriers do show signs suchas mild illness without realizing any obvious symptom. you may want some reassurance over how well someone feels while isolating themselvesselflesslyactively through phone calls/video conferencing instead?","if you have symptoms of covid-19, call your healthcare provider right away and ask them to isolate or remove the infected person from their room so they don’t spread it further in public places like bathrooms/coronaviruses (such as restrooms) where people are not allowed inside unless there is a medical reason that prevents others who may be sick with coronitis virus infection getting close contact by touching surfaces such objects while wearing face coverings during this time period; however these precautions should only apply when someone else has been exposed but doesnot pose an immediate risk because no one can see through those coveringalls without first washing hands before entering into another's bedroom area after exposure). if possible use hand sanitizer immediately prior testing results since some germs might linger on surface areas longer than other types which could lead directly onto contaminated items later upon entry via respiratory droplets produced within seconds due either direct transmission between individuals using aerosols generated outside our household environment rather then being absorbed back outwards instead resulting mainlyfrom inhaled particles created around us (e., coughs), iosternal icon syndrome disease outbreak pandemic influenza vaccine 2019, china state health department data collection center vdh surveillance",0.828475296497345,0.8160817623138428
i’m really worried about the coronavirus and don’t know how to calm down.,"we're sorry to hear that you've been having a tough time. this pandemic is highly unusual, and social distancing has disrupted many people's lives and income. it's natural to be stressed in such a strange situation. now is a good time to work on self care. you can take steps to reduce your risk
, such as cleaning, washing your hands, and staying home except to buy essentials. reach out to your loved ones so you can support each other. if you're worried about someone, try doing something nice for them. our article on dealing with anxiety about coronavirus
 includes more tips on managing stress during this difficult time. this isn't easy. we're in this together.","if you have a medical emergency, call 911 or go for help immediately by calling 1-800‑safe (1 866) 777‐5363 from 9 am - 5 pm et monday through friday at 718–874 – 212 3644nycbeitarily closed due in part because of covid 19 and it is not safe right now; please continue with your normal activities as much possible while staying home unless absolutely necessary ""","if you have symptoms of covid-19, call your doctor right away or visit a health care provider immediately for help with getting tested in person so they can make sure that everyone is safe before going out on their own!   this will be especially important when it comes time during an outbreak like pandemic season (i'm not talking here because we're still learning more). however there are many ways people may get sick from these viruses including coughing up blood; sneezing/sore throat due either cough alone at home as well being infected by someone else who has been exposed while under quarantine); having trouble breathing after eating food contaminated foods suchas frozen chicken breast soup without refrigeration)and even worse – spreading germs through contactless droplets which could spread them around other animals too easily - all signs point towards infection causing serious illness",0.7836893200874329,0.8150215148925781
what precautions should i take during travel?,"during travel, everyone should clean hands frequently, cough or sneeze into a bent elbow or tissue, and try to maintain a physical distance of at least one metre from others. travelers should follow the recommendations of the travel authorities regarding policies in the airport and of the airline for the flight.","if you are planning to go on a cruise, follow the cdc’s guidance for when and where people can be exposed. this includes staying home as much or all of your time away from others (e., avoiding crowded places), washing hands often with soap & water regularly throughout their stay at least 6 feet apart whenever possible while in public areas including airports/airports; wearing cloth face coverings that cover both nose-to‑face masks - especially after going out – but not eating food directly into an armrest system such valves); cleaning frequently touched surfaces between uses by guests who may have covid symptoms and thoroughly disinfecting high touch items like tables etc.). ""if someone is sick overseas then it would also likely include those returning back via commercial flights arriving within 14 days prior direct routes which will need additional screening before they enter europeexternal iconlingcdc advise against non‐essential international travelers because these countries might become infected again travellers without knowing themself quarantine measures must always apply regardless whether passengers arrive using domestic carriers remain exempt under federal law schengen area protocolsfor example canadatravel restrictions require citizens entering u·canada through one country coming together only once every two weeks unless necessary transiting therewith mandatory health screenings upon arrival","the cdc recommends that travelers wear a face covering when traveling. this includes, but is not limited to; wearing cloth masks or facemasks while in public places and at least 6 feet away from others who are visibly ill with covid-19 (e., close contact of someone sick), as well if they have been exposed by their own body fluids for more than 14 days without symptoms due either direct exposure through coughing/clashing hands often associatedwith respiratory illness suchas pneumonia). people may also be asked about personal protective equipment like gloves before entering an area where there has already become widespread transmission between individuals infected and other persons suspected to carry out these activities on surfaces including clothing loops around bodies which can catch germs after touching them frequently used objects outside areas unless otherwise instructed so it’s recommended against use indoors because some pathogens could spread via droplets produced inside clothes looped over your nose instead!",0.8244529366493225,0.8237611651420593
